Date,Time,CustomerType,ProductCategory,UnitPrice,Quantity,Total,FullName
01-02-2025,00:15:00,Normal,Home & Kitchen,370.12,5,1850.6,John Doe
01-02-2025,01:42:00,Refund,Electronics,-481.99,4,-1927.96,Alice Johnson
01-02-2025,01:59:00,Premium,Clothing,384.89,4,1539.56,Jane Smith
01-02-2025,02:00:00,Member,Home & Kitchen,367.96,1,367.96,John Doe
01-02-2025,03:27:00,Refund,Home & Kitchen,-303.45,3,-910.35,Bob Williams
01-02-2025,03:52:00,Refund,Home & Kitchen,-483.96,2,-967.92,Charlie Brown
01-02-2025,03:57:00,Refund,Beauty & Personal Care,-359.57,2,-719.14,Bob Williams
01-02-2025,05:04:00,Refund,Home & Kitchen,-19.57,4,-78.28,Charlie Brown
01-02-2025,05:09:00,Member,Electronics,264.94,3,794.82,Alice Johnson
01-02-2025,05:36:00,Refund,Grocery,-237.59,3,-712.77,John Doe
01-02-2025,06:30:00,Member,Clothing,69.98,1,69.98,Bob Williams
01-02-2025,07:43:00,Premium,Electronics,450.66,1,450.66,Alice Johnson
01-02-2025,08:21:00,Member,Home & Kitchen,38.98,2,77.96,Jane Smith
01-02-2025,08:50:00,Refund,Grocery,-488.17,2,-976.34,Bob Williams
01-02-2025,09:35:00,Refund,Grocery,-291.57,2,-583.14,John Doe
01-02-2025,10:02:00,Normal,Clothing,473.66,5,2368.3,John Doe
01-02-2025,11:21:00,Normal,Clothing,225.11,4,900.44,John Doe
01-02-2025,11:57:00,Member,Electronics,66.16,3,198.48,Jane Smith
01-02-2025,12:29:00,Normal,Beauty & Personal Care,340.38,5,1701.9,Jane Smith
01-02-2025,12:39:00,Refund,Beauty & Personal Care,-448.09,5,-2240.45,Charlie Brown
01-02-2025,12:51:00,Normal,Home & Kitchen,159.64,5,798.2,John Doe
01-02-2025,13:16:00,Normal,Grocery,63.76,3,191.28,Jane Smith
01-02-2025,13:22:00,Premium,Clothing,329.26,5,1646.3,Bob Williams
01-02-2025,13:34:00,Refund,Beauty & Personal Care,-173.46,5,-867.3,Charlie Brown
01-02-2025,13:56:00,Premium,Beauty & Personal Care,436.67,4,1746.68,Charlie Brown
01-02-2025,15:34:00,Member,Home & Kitchen,52.46,3,157.38,John Doe
01-02-2025,15:48:00,Premium,Clothing,220.29,2,440.58,Alice Johnson
01-02-2025,17:42:00,Refund,Beauty & Personal Care,-224.29,3,-672.87,Bob Williams
01-02-2025,17:52:00,Member,Grocery,172.07,3,516.21,Alice Johnson
01-02-2025,18:00:00,Refund,Grocery,-364.47,2,-728.94,Charlie Brown
01-02-2025,18:16:00,Refund,Grocery,-238.81,3,-716.43,Charlie Brown
01-02-2025,18:41:00,Normal,Electronics,484.74,4,1938.96,Jane Smith
01-02-2025,18:56:00,Premium,Electronics,228.42,1,228.42,Jane Smith
01-02-2025,19:23:00,Normal,Home & Kitchen,76.2,4,304.8,Jane Smith
01-02-2025,20:45:00,Refund,Electronics,-490.33,1,-490.33,Alice Johnson
01-02-2025,20:53:00,Member,Clothing,206.89,2,413.78,John Doe
01-02-2025,20:57:00,Refund,Home & Kitchen,-171.25,3,-513.75,Charlie Brown
01-02-2025,21:22:00,Normal,Clothing,266.5,4,1066.0,Alice Johnson
01-02-2025,21:35:00,Refund,Beauty & Personal Care,-429.52,2,-859.04,John Doe
01-02-2025,21:52:00,Refund,Grocery,-257.23,5,-1286.15,Alice Johnson
01-02-2025,22:58:00,Refund,Beauty & Personal Care,-244.18,5,-1220.9,Charlie Brown
02-02-2025,00:11:00,Refund,Grocery,-192.08,2,-384.16,Alice Johnson
02-02-2025,01:09:00,Refund,Home & Kitchen,-454.23,1,-454.23,Jane Smith
02-02-2025,02:00:00,Premium,Electronics,376.81,1,376.81,John Doe
02-02-2025,02:40:00,Refund,Home & Kitchen,-475.67,1,-475.67,Charlie Brown
02-02-2025,02:50:00,Premium,Home & Kitchen,493.83,1,493.83,John Doe
02-02-2025,03:29:00,Normal,Grocery,195.14,5,975.7,Charlie Brown
02-02-2025,05:44:00,Premium,Beauty & Personal Care,249.48,2,498.96,Charlie Brown
02-02-2025,07:09:00,Premium,Grocery,178.06,3,534.18,Jane Smith
02-02-2025,07:16:00,Refund,Home & Kitchen,-62.36,5,-311.8,Charlie Brown
02-02-2025,07:46:00,Normal,Clothing,269.76,1,269.76,John Doe
02-02-2025,08:37:00,Refund,Clothing,-442.96,3,-1328.88,Alice Johnson
02-02-2025,09:18:00,Normal,Home & Kitchen,483.73,1,483.73,Bob Williams
02-02-2025,10:28:00,Refund,Home & Kitchen,-268.55,2,-537.1,Bob Williams
02-02-2025,10:36:00,Refund,Clothing,-197.47,1,-197.47,Bob Williams
02-02-2025,11:20:00,Normal,Electronics,237.62,2,475.24,Jane Smith
02-02-2025,11:21:00,Normal,Clothing,440.79,3,1322.37,Alice Johnson
02-02-2025,11:21:00,Member,Beauty & Personal Care,48.99,4,195.96,Jane Smith
02-02-2025,11:37:00,Refund,Electronics,-241.18,2,-482.36,Bob Williams
02-02-2025,12:07:00,Normal,Electronics,373.31,1,373.31,Jane Smith
02-02-2025,13:48:00,Refund,Clothing,-227.51,5,-1137.55,Bob Williams
02-02-2025,14:01:00,Refund,Grocery,-210.23,1,-210.23,Charlie Brown
02-02-2025,14:33:00,Refund,Grocery,-338.16,1,-338.16,Alice Johnson
02-02-2025,15:20:00,Refund,Home & Kitchen,-22.47,3,-67.41,Alice Johnson
02-02-2025,15:34:00,Member,Electronics,162.59,1,162.59,Bob Williams
02-02-2025,15:38:00,Normal,Home & Kitchen,450.54,5,2252.7,Charlie Brown
02-02-2025,16:04:00,Refund,Home & Kitchen,-391.04,2,-782.08,Jane Smith
02-02-2025,16:46:00,Premium,Clothing,13.87,1,13.87,Charlie Brown
02-02-2025,17:20:00,Refund,Home & Kitchen,-377.4,4,-1509.6,Bob Williams
02-02-2025,17:55:00,Premium,Electronics,422.78,4,1691.12,John Doe
