Date,Time,CustomerType,ProductCategory,UnitPrice,Quantity,Total,FullName
18-02-2026 00:07,00:07:09,Regular,Beauty,20.37,5,101.85,Sneha Gupta
18-02-2026 00:17,00:17:39,Premium,Grocery,13.43,1,13.43,Rohan Desai
18-02-2026 00:21,00:21:58,Regular,Grocery,19.75,4,79.0,Sneha Gupta
18-02-2026 00:27,00:27:52,Premium,Beauty,13.98,1,13.98,Ananya Singh
18-02-2026 00:28,00:28:33,Premium,Grocery,10.95,4,43.8,Ananya Singh
18-02-2026 00:38,00:38:05,Premium,Beauty,90.65,3,271.95,Aditya Kumar
18-02-2026 00:50,00:50:01,Member,Clothing,68.13,1,68.13,Ananya Singh
18-02-2026 00:57,00:57:55,Premium,Beauty,44.3,1,44.3,Aditya Kumar
18-02-2026 00:59,00:59:15,Premium,Home & Kitchen,138.09,1,138.09,Rahul Sharma
18-02-2026 01:03,01:03:41,Regular,Beauty,76.33,3,228.99,Sneha Gupta
18-02-2026 01:08,01:08:32,Regular,Clothing,98.56,2,197.12,Rahul Sharma
18-02-2026 01:13,01:13:03,Premium,Electronics,727.26,3,2181.78,Ananya Singh
18-02-2026 01:22,01:22:23,Member,Electronics,157.3,3,471.9,Priya Iyer
18-02-2026 01:34,01:34:18,Member,Clothing,104.53,2,209.06,Priya Iyer
18-02-2026 01:36,01:36:02,Member,Clothing,34.55,2,69.1,Kavita Reddy
18-02-2026 01:41,01:41:44,Premium,Clothing,53.02,3,159.06,Rahul Sharma
18-02-2026 01:50,01:50:57,Premium,Home & Kitchen,102.62,1,102.62,Priya Iyer
18-02-2026 01:55,01:55:52,Member,Clothing,21.44,3,64.32,Sneha Gupta
18-02-2026 02:28,02:28:35,Regular,Clothing,93.45,2,186.9,Vikram Patel
18-02-2026 02:35,02:35:24,Regular,Grocery,39.12,3,117.36,Ananya Singh
18-02-2026 02:38,02:38:17,Premium,Beauty,97.89,4,391.56,Kavita Reddy
18-02-2026 02:49,02:49:31,Regular,Beauty,76.59,4,306.36,Arjun Verma
18-02-2026 03:06,03:06:45,Member,Grocery,12.86,1,12.86,Ananya Singh
18-02-2026 03:19,03:19:02,Premium,Home & Kitchen,282.4,2,564.8,Neha Joshi
18-02-2026 03:21,03:21:32,Member,Electronics,996.88,5,4984.4,Aditya Kumar
18-02-2026 03:47,03:47:07,Regular,Grocery,21.38,2,42.76,Vikram Patel
18-02-2026 03:55,03:55:45,Premium,Grocery,16.7,5,83.5,Rohan Desai
18-02-2026 03:56,03:56:03,Premium,Home & Kitchen,132.27,4,529.08,Rahul Sharma
