Date,Time,CustomerType,ProductCategory,UnitPrice,Quantity,Total,FullName
18-03-2026 00:06,00:06:20,Member,Beauty,32.99,5,164.95,Rohan Desai
18-03-2026 00:07,00:07:13,Member,Home & Kitchen,32.3,3,96.9,Neha Joshi
18-03-2026 00:10,00:10:10,Regular,Electronics,829.83,1,829.83,Kavita Reddy
18-03-2026 00:20,00:20:46,Regular,Clothing,123.2,2,246.4,Arjun Verma
18-03-2026 00:23,00:23:37,Premium,Grocery,24.09,3,72.27,Arjun Verma
18-03-2026 00:28,00:28:14,Premium,Clothing,52.22,3,156.66,Rohan Desai
18-03-2026 00:37,00:37:18,Regular,Clothing,87.6,1,87.6,Kavita Reddy
18-03-2026 00:40,00:40:46,Premium,Grocery,6.14,4,24.56,Ananya Singh
18-03-2026 00:40,00:40:49,Premium,Electronics,377.41,3,1132.23,Aditya Kumar
18-03-2026 00:59,00:59:34,Premium,Grocery,30.85,5,154.25,Neha Joshi
18-03-2026 01:01,01:01:05,Regular,Electronics,954.48,2,1908.96,Kavita Reddy
18-03-2026 01:16,01:16:24,Regular,Beauty,62.29,2,124.58,Aditya Kumar
18-03-2026 01:22,01:22:36,Premium,Beauty,39.28,2,78.56,Aditya Kumar
18-03-2026 01:24,01:24:07,Premium,Beauty,75.06,1,75.06,Ananya Singh
18-03-2026 01:28,01:28:46,Regular,Grocery,28.09,3,84.27,Vikram Patel
18-03-2026 01:31,01:31:22,Regular,Electronics,555.37,1,555.37,Aditya Kumar
18-03-2026 01:42,01:42:17,Regular,Electronics,555.87,4,2223.48,Arjun Verma
18-03-2026 02:16,02:16:35,Premium,Grocery,28.78,1,28.78,Priya Iyer
18-03-2026 02:19,02:19:05,Member,Clothing,45.87,5,229.35,Rohan Desai
18-03-2026 02:28,02:28:03,Member,Clothing,82.87,1,82.87,Kavita Reddy
18-03-2026 02:30,02:30:02,Member,Clothing,33.86,5,169.3,Arjun Verma
18-03-2026 02:40,02:40:25,Member,Home & Kitchen,46.55,4,186.2,Neha Joshi
18-03-2026 02:44,02:44:15,Member,Beauty,45.56,4,182.24,Vikram Patel
